id;is_misinfo;Tweets,,,,,,,,,,,,,
1,34361E+18;0;Happy to be getting my first dose of vaccine! It's time that COVID-19 F**ked off - vaccines in arms is his that's going to happen #upyourscorona https://t.co/X8gL1RQJNo,,,,,,,,,,,,
1,"38782E+18;1;""Y'all getting wine for that ",,,,,,,,,,,,
RNA GENE THERAPY,,,,,,,,,,,,,
"https://t.co/kgear3SkYj""",,,,,,,,,,,,,
1,"36039E+18;0;""Received my first dose of vaccine today! Thanks", @POTUS, @VP, and all the frontline workers.,,,,,,,,,
"#CovidVaccine""",,,,,,,,,,,,,
1,"34221E+18;0;""If you sat on my couch don’t worry about what’s in that vaccine <U+0001F602><U+0001F602><U+0001F602> ",,,,,,,,,,,,
,,,,,,,,,,,,,
"Don’t unfollow me <U+0001F607>""",,,,,,,,,,,,,
1,"37181E+18;1;""Not a vaccine in the medical definition", COVID-19 'vaccine' is really an experimental gene therapy that does not render immunity or prevent infection or transmission of the disease.&gt;it alters your genetic coding," turning you into a viral protein factory that has no off-switch.""",,,,,,,,,,
1,34427E+18;1;https://t.co/JWLVZ1bpiO SO YOUR SAYING ITS IN DEADLY VACCINE TO.,,,,,,,,,,,,
1,"38782E+18;1;""More incentive to get that RNA gene therapy in you just as fast as you can.",,,,,,,,,,,,
"https://t.co/A8purcDWTE""",,,,,,,,,,,,,
1,38571E+18;1;Dis appointed with Trump pushing for the jab , he must know that the so called vaccine is actually for gene therapy , he looses my support very sad .,,,,,,,,,,
1,"38739E+18;1;""Moderna """"vaccine"""" is gene therapy per FDA:",,,,,,,,,,,,
,,,,,,,,,,,,,
Currently," mRNA is considered a gene therapy product by the FDA.""""",,,,,,,,,,,,
,,,,,,,,,,,,,
"https://t.co/7V2FtVyaEY""",,,,,,,,,,,,,
1,"37314E+18;1;""Key lessons for cell &amp; gene therapy and mRNA therapeutic development from COVID-19 mRNA vaccine approvals https://t.co/1tW8M4XNrn""",,,,,,,,,,,,
1,35915E+18;0;Just got the second round of vaccine. Doesn't mean I can let my guard down though. I still have a responsibility to keep from spreading covid since I can still technically carry. Feels good to  have it out of the way though.,,,,,,,,,,,,
1,37297E+18;0;Got my vaccine!,,,,,,,,,,,,
1,34663E+18;0;If you’ve ever eaten chips off of a table at a social, don’t worry about what’s in the covid vaccine.,,,,,,,,,,,
1,"3903E+18;0;""Day 2 of my second Covid shot and I'm worse than yesterday... ",,,,,,,,,,,,
,,,,,,,,,,,,,
If level 10 is the actual Covid virus and the vaccine side effects is level 1, than I am so grateful to science for saving me from feeling 10 times worse.,,,,,,,,,,,,
,,,,,,,,,,,,,
"#WorthIt""",,,,,,,,,,,,,
1,34226E+18;0;if you ever had to clean up the toys in the children’s room at the library, you don’t have to worry about what’s in the covid vaccine,,,,,,,,,,,
1,"38812E+18;1;""Clinical #news : Highs &amp; Lows",,,,,,,,,,,,
,,,,,,,,,,,,,
@moderna_tx  to manufacture ~3B #COVIDVaccine doses in 2022 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
@cvspharmacy launches $100M #Venture fund, CVS Health Ventures #cvspharmtech ,,,,,,,,,,,,
,,,,,,,,,,,,,
@adverumbio reports disappointing results from gene therapy study; shares<U+0001F44E> $ADVM ,,,,,,,,,,,,,
"https://t.co/JDyVlsctTe https://t.co/7CsT4US57I""",,,,,,,,,,,,,
1,37304E+18;1;Over a 13-14 month period 126,000 have died after having a positive C19 test which is chronically unreliable. In response the U.K. government have committed massive fraud, locked up its population, and now have administered 20,0,000 doses of a relatively untested vaccine..,,,,,,,
1,39007E+18;0;Got 2nd covid-19 vaccine shot.  So glad and grateful.  #GetVaccinated,,,,,,,,,,,,
1,"37228E+18;1;""Owen Shroyer is LIVE! as """"Bombshell: Doctor Warns Covid Vaccine Dangerous Experimental Gene Therapy"""" ",,,,,,,,,,,,
https://t.co/wwbbwYx4an ,,,,,,,,,,,,,
"@DanScavino @DonaldJTrumpJr @TuckerCarlson @thewinningmedia @MarkSteynOnline @JackPosobiec @NetworksManager @MrAndyNgo @drsimonegold @JamesTodaroMD""",,,,,,,,,,,,,
1,34689E+18;0;Little sis is in line for her vaccine!!! It’s a gooooood day!,,,,,,,,,,,,
1,"36093E+18;1;""In just over 23+ yrs ago- let us not forget"," so history doesn’t repeat itself. All experimental treatment- including the current vaccine propaganda—&gt; must include full informed consent! https://t.co/Ij1cQ9xSAS""",,,,,,,,,,,
1,"36047E+18;0;""Well", my first shot (get it?!) at the vaccine just got pushed back by two weeks. Ain't that a poke in the arm?,,,,,,,,,,,
,,,,,,,,,,,,,
"I actually think it will be April before I snag a spot in the """"almost 60"""" range.""",,,,,,,,,,,,,
1,34675E+18;1;Rushed vaccine <U+0001F602><U+0001F602><U+0001F923><U+0001F923><U+0001F923>,,,,,,,,,,,,
1,"38752E+18;0;""Europe plans to allow #vaccinated Americans to visit this summer. Dr. Gautam Desai", chair, primary care &amp; #familymed prof. at @KansasCityU, reminds @AARP readers to be cognizant of a #COVID19 variant that's not protected against the #vaccine. ,,,,,,,,,
,,,,,,,,,,,,,
"https://t.co/T42nXF8c0a""",,,,,,,,,,,,,
1,"34682E+18;1;""If masks work", why social distance?,,,,,,,,,,,
&amp; vice-versa,,,,,,,,,,,,,
,,,,,,,,,,,,,
If social distancing works, why lockdown?,,,,,,,,,,,,
,,,,,,,,,,,,,
If lockdown works, why FORCED VAX?,,,,,,,,,,,,
,,,,,,,,,,,,,
Survival rates at 90+%, why FORCED VAX?,,,,,,,,,,,,
,,,,,,,,,,,,,
#OperationWarpSpeed forced #DemonSemen ,,,,,,,,,,,,,
"-The Depopulation """"Vaccine""""",,,,,,,,,,,,,
,,,,,,,,,,,,,
#MasksDontWork ,,,,,,,,,,,,,
"https://t.co/FdrBKLHhcf""",,,,,,,,,,,,,
1,"38711E+18;0;""Meghan Markle &amp; Prince Harry Join Covid Vaccine Concert https://t.co/1nubdUEmil via @YouTube ",,,,,,,,,,,,
"#GetVaccinated""",,,,,,,,,,,,,
1,"37405E+18;1;""""""Krispy Kreme will you give you a free doughnut every day this year — if you've been vaccinated""""",,,,,,,,,,,,
,,,,,,,,,,,,,
What bizarro-world is this? Free diabetes with your experimental gene therapy mRNA vaccine?,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sick.,,,,,,,,,,,,,
"https://t.co/X6vmG647gF""",,,,,,,,,,,,,
1,37375E+18;0;Gonna be getting my vaccine shot in an hour, shame it had to be at 2AM but worth getting that slot since the pfizer one time slots runs out real quick.,,,,,,,,,,,
1,"35872E+18;1;""87 THOUSAND DOCTORS &amp; NURSES COME OUT AGAINST COVID 19 &amp; FAKE VACCINE 'GENE THERAPY' https://t.co/xnPkJfBpCK via @BitChute""",,,,,,,,,,,,
1,"34629E+18;1;""""""Why yes", we don't trust a rushed vaccine that has already shown to have horrible side effects," how could you tell?"""" https://t.co/utiyhPFLh3""",,,,,,,,,,
1,"38828E+18;0;""first vaccine ",,,,,,,,,,,,
"so much hurt""",,,,,,,,,,,,,
1,3422E+18;0;If you went to a Miami-Dade public school don’t worry about what’s on the vaccine https://t.co/IuQugRRbuF,,,,,,,,,,,,
1,"38778E+18;0;""All #women above 18 years of age", irrespective of their #periods, hormonal status, should get #vaccinated,,,,,,,,,
#COVID19 #Covid19India #VaccinationEducation ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"https://t.co/5UhtOr8OYL""",,,,,,,,,,,,,
1,3469E+18;0;Second doses of coronavirus vaccine now being distributed across Michigan https://t.co/kRFXujRvNU,,,,,,,,,,,,
1,"37409E+18;0;""Got my first #Moderna shot!",,,,,,,,,,,,
,,,,,,,,,,,,,
#Vaccinated #VaccinateAll58 ,,,,,,,,,,,,,
"#COVID19Vaccine https://t.co/hOWVF29dHj""",,,,,,,,,,,,,
1,"38716E+18;0;""Achievement Unlocked: """"Halfway There""""",,,,,,,,,,,,
Received first of two #COVID19 vaccine doses during the coronavirus pandemic. ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Not sure where you can get your #CovidVaccine in Canada? Check out @VaxHuntersCan and let's vaccinate our way to victory. Don't wait," vaccinate! #GetVaccinated""",,,,,,,,,,,,
1,34654E+18;0;If you’ve ever stuck your hand in a m*ckey glove to high five guests, don’t worry about what’s in the vaccine,,,,,,,,,,,
1,"36029E+18;0;""14",12,224 first doses received up to &amp; including Thursday, 11th February 2021 (+503,116),,,,,,,,
,,,,,,,,,,,,,
530,094 second doses have been given (+5,647),,,,,,,,,,,
,,,,,,,,,,,,,
"https://t.co/hUhrEkUaHD          #COVID19 #CovidVaccine #vaccine #JabsInArms""",,,,,,,,,,,,,
1,34637E+18;1;What is the point of taking a dangerous vaccine, if you can’t go back to normal life! https://t.co/olhd5hVFsS,,,,,,,,,,,
1,"36029E+18;0;""it's been a week since i got the second dose of my covid vaccine!!! so its finally time to-",,,,,,,,,,,,
,,,,,,,,,,,,,
"keep staying at home unless necessary and wearing masks when i do need to go outside <U+270C><U+FE0F><U+0001F3FC>""",,,,,,,,,,,,,
1,34658E+18;0;People who get haircuts at great clips don't need to worry about what's in the covid vaccine,,,,,,,,,,,,
1,3582E+18;1;Hey all you Johnson supporters,  please line up for your TOXIC VACCINE,  you're doing us a favour by eliminating all the idiots from our world.,,,,,,,,,,
1,3443E+18;1;The vaccine makes you infertile lol...depopulation with no deaths? Well not counting covid deaths but ya know,,,,,,,,,,,,
1,37394E+18;0;Booked my covid vaccine jab for Saturday and second one in June just doin my bit,,,,,,,,,,,,
1,34689E+18;0;Ya boy is getting the Covid vaccine!,,,,,,,,,,,,
1,34468E+18;0;I’m too excited to get my first round of the COVID vaccine on Sunday <U+0001F606>,,,,,,,,,,,,
1,38814E+18;0;if you drink coconut refreshers from dunkin don’t worry about what’s in the vaccine,,,,,,,,,,,,
1,"36031E+18;0;""The COVID-19 vaccines are a two-dose series. It is important to get your second dose to maximize the effectiveness of the vaccine and boost your immunity. Learn more at https://t.co/MsSs4LG7zu. ",,,,,,,,,,,,
,,,,,,,,,,,,,
"#Get2Doses #HeresTheSpotGetYourShot #Vaccines #VaxUpCU #VaxUpIL https://t.co/hfMYymVURQ""",,,,,,,,,,,,,
1,"39006E+18;1;""They're not """"vaccine passports", they're movement licenses. It's not a vaccine," it's experimental gene therapy. """"Lockdown"""" is at best completely pointless universal medical isolation and at worst ubiquitous public incarceration.",,,,,,,,,,
,,,,,,,,,,,,,
Call things what they are," not their euphemisms.""",,,,,,,,,,,,
1,36022E+18;1;Just putting it out there (not conspiracy theory) remember it’s an Experimental vaccine. #first dose offers little to no protection. Mutations render vaccine pointless at this point. Not enough studies done me #no vaccine.,,,,,,,,,,,,
1,37404E+18;1;AstraZeneca's COVID-19 vaccine found to be 79 percent effective https://t.co/VgAjgZFWZ9 via @nypost strange how the so called experts tell the people a different story every other day about astrazenaca vaccine and they wonder why people don't trust a rushed vaccine,,,,,,,,,,,,
1,"3592E+18;0;""My parents just got their second vaccination doses on Long Island", &amp; the feeling is such a relief. It’s incredible the work being done.,,,,,,,,,,,
,,,,,,,,,,,,,
"Hoping more people can feel this same feeling for their loved ones &amp; get the vaccine themselves ASAP #ThankYouFirstResponders #StaySafe""",,,,,,,,,,,,,
1,34219E+18;0;If you ever went to the worthington pool you don’t need to worry about what’s in the covid vaccine,,,,,,,,,,,,
1,39006E+18;0;Booked in for second vaccine next week <U+0001F64F>so grateful to @NHSEngland for an amazing roll out. Completely unrelated subject why is it so cold we need hot water bottles in May <U+0001F976>,,,,,,,,,,,,
1,39028E+18;0;The Pfizer-BioNTech coronavirus vaccine is extraordinarily effective at protecting against severe disease caused by two dangerous variants, according to two studies published Wednesday. https://t.co/61WcNkdnhK,,,,,,,,,,,
1,"38742E+18;0;""One dose of AZ or Pfizer vaccine cuts household transmission by half. This is a clear body shot to the virus. Need the second dose for the knock out punch. <U+0001F44A><U+0001F3FE><U+0001F44A><U+0001F3FE><U+0001F44A><U+0001F3FE> #VaccinesWork #COVID19 ",,,,,,,,,,,,
"https://t.co/5hscLwPVck""",,,,,,,,,,,,,
1,"38638E+18;1;""I HAVE NOT seen this video about covid-19 vaccine being gene therapy.",,,,,,,,,,,,
This is all I have researched.,,,,,,,,,,,,,
Here, the #CDC explains how it works.,,,,,,,,,,,,
https://t.co/BVj84TyhnX,,,,,,,,,,,,,
And this link explains gene therapy.,,,,,,,,,,,,,
"https://t.co/FW9Rl3Fg2y""",,,,,,,,,,,,,
1,"37328E+18;0;""Just been invited for my COVID vaccine by my university GP. I’m currently based at home so am nowhere near the locations offered. ",,,,,,,,,,,,
,,,,,,,,,,,,,
119 can’t do anything. They say I need to just wait until national NHS contacts me. ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Anyone else been in this situation?""",,,,,,,,,,,,,
1,34686E+18;0;if you’ve ever drunk from the cup of wine at church during mass, don’t worry about what’s in the vaccine,,,,,,,,,,,
1,34659E+18;0;if u watched once upon a time don’t worry about what’s in the vaccine,,,,,,,,,,,,
1,38781E+18;0;Got my second dose of Moderna on Tuesday!! #vaccinated,,,,,,,,,,,,
1,34467E+18;0;Today I get my covid vaccine. I’ve never been so excited for a shot that wasn’t alcoholic.,,,,,,,,,,,,
1,"37374E+18;1;""""""Are the various Covid vaccines a genocidal bioweapon", covert tool of transhumanism, debilitating gene-altering drug," or all 3?""""",,,,,,,,,
https://t.co/ndmGeZOXOc,,,,,,,,,,,,,
"@BrotherXos""",,,,,,,,,,,,,
1,"37216E+18;1;""""""sustainable"""" = great reset", CO2/nature business, depopulation agenda,,,,,,,,,,
"safe reopening"""" = Nazi vaccine passports",,,,,,,,,,,,,
"common"""" """"together"""" = one world government", NWO speak,,,,,,,,,,,,
"Just say no people. It's the ordinary people vs the elite billionaires .We are better and number more than them.""",,,,,,,,,,,,,
1,34224E+18;0;if you use to eat from Naginas in the ends please dont worry about whats in the vaccine,,,,,,,,,,,,
1,35931E+18;0;I’m 66 with an autoimmune condition- just got a vaccine appt for next Tuesday.  I have to drive 230 miles one way but I’m going to take what I can get!,,,,,,,,,,,,
1,37411E+18;0;i got my second covid vaccine on Friday! aside from some nausea and exhaustion (this second dose hit hard!), i feel so good and am so relieved to have lil baby covid antibodies floating through my body!!!!!!!!!!!!!!!!!!!!! #GetVaccinated https://t.co/S9W2SOYXTS,,,,,,,,,,,
1,36027E+18;0;1/8 Next week I'm getting the second dose of the Moderna vaccine.,,,,,,,,,,,,
1,38791E+18;0;Got my second covid shot today. #secondshot #moderna #TeamModerna #vaccinated #letsbeatcovid #thankscvs #cvs,,,,,,,,,,,,
1,"36106E+18;1;""The sharp increase in mortality which correlates precisely with the COVID–19 vaccine rollout in UK"," does not bode well for these experimental injectables that should not be called """"vaccines"""": https://t.co/lPA0rG0ZSQ""",,,,,,,,,,,
1,39045E+18;0;I want to get a third vaccine shot.,,,,,,,,,,,,
1,"3469E+18;0;""if you ever said """"i have the power of god and anime on my side"""" you do not have to worry about whats in the covid vaccine""",,,,,,,,,,,,
1,34696E+18;0;On the plus side, today, my mom received her first Covid vaccine and my dad received his second Covid vaccine <U+0001F49A>,,,,,,,,,,
1,34226E+18;0;if you’ve ever accepted a drink from a random man in alibis don’t worry about what’s in the vaccine,,,,,,,,,,,,
1,34658E+18;0;I got my first COVID-19 vaccine (Moderna) jab today! Because I'm an old guy. Thanks to all the people who helps make that happen.,,,,,,,,,,,,
1,"38828E+18;0;""fully vaccinated with Pfizer today <U+0001F489>",,,,,,,,,,,,
,,,,,,,,,,,,,
15 minutes later," i held a one woman drag show and windmilled my arm in the CVS parking lot""",,,,,,,,,,,,
1,34219E+18;0;If you ever spent time in your teenage years dying in a field from vodka poisoning, in a ditch, surrounded by cows, you don’t need to worry about what’s in the vaccine,,,,,,,,,
1,34218E+18;0;if you’ve ever walked through here, don’t worry about what’s in the vaccine https://t.co/LeRf2CEBtz,,,,,,,,,,,
1,"35977E+18;1;""URGENT: Pfizer &amp; Moderna Experimental Gene Therapy Not Vaccine https://t.co/255T1Xdmvs via @BitChute""",,,,,,,,,,,,
1,34655E+18;0;if you ever went to a show at the knitting factory you don't need to worry about whats in the vaccine,,,,,,,,,,,,
1,38827E+18;0;What's your favorite feature of the Covid 19 vaccine?,,,,,,,,,,,,
1,"38724E+18;0;""The United States and different partners support global vaccine distribution", and more developing countries will receive COVID-19 vaccines.,,,,,,,,,,,
https://t.co/FYdN2S4MLu,,,,,,,,,,,,,
"#VaccinesWork #WorldImmuniztionWeek""",,,,,,,,,,,,,
1,34692E+18;0;If you stormed capitol hill today, don't worry about whats in the vaccine..,,,,,,,,,,,
1,"36029E+18;0;""In Dillingham", both first and second doses of the vaccine will be offered at a clinic Saturday at the Dillingham Middle/High School. ,,,,,,,,,,,
,,,,,,,,,,,,,
"https://t.co/ivgnGwheXH""",,,,,,,,,,,,,
1,34309E+18;0;if you eat coleslaw dont worry about whats in the vaccine,,,,,,,,,,,,
1,"38733E+18;0;""Let's go on a vaccine date instead of coffee date.. ",,,,,,,,,,,,
,,,,,,,,,,,,,
#VaccinesWork ,,,,,,,,,,,,,
"#VaccineFor18Plus""",,,,,,,,,,,,,
1,34689E+18;0;Not my mom saying we’re getting the coronavirus vaccine in 2 days <U+0001F974>,,,,,,,,,,,,
1,36033E+18;1;To be clear. I  am not opposed to people deciding to take this 'vaccine' and be some sort of experimental hamster for the gov't, but I am not going to be one with risk of harm or death for a disease the vaccine won't prevent and which is about 99% survivable.,,,,,,,,,,,
1,34397E+18;0;Got the first dose of my COVID Vaccine today <U+0001F64C><U+0001F3FC>,,,,,,,,,,,,
1,"39034E+18;0;""#2ndDose #Vaxed #Moderna Grateful to #healthcareheroes @riteaid #NYC Together we can end this global pandemic through #VaccinEquity &amp; #EquitableVaccineDistribution throughout the world. No one is safe until everyone  is safe  @UNICEFUSA #InThisTogether #OneWorld #OneFamily #One<U+2764> https://t.co/MvsLzOHA1a""",,,,,,,,,,,,
1,34659E+18;0;If you've watched any of joe rogan or Brendan schaub's stand up specials and laughed, don't worry about what's in the vaccine,,,,,,,,,,,
1,"38998E+18;1;""Why are VACCINATED People So Terrified of UNVACCINATED People.. if """"Vaccine"""" I Mean DNA Altering Synthetic Jabs really Protected them? <U+0001F644>""",,,,,,,,,,,,
1,"37379E+18;0;""Thank you to everyone who has been able to get out on the streets during a pandemic to fight for all of our rights to protest", and against more police powers.,,,,,,,,,,,
"Love from a disabled gal who hasnt got her vaccine yet and is in pain 24/7. We are grateful for you<U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F>""",,,,,,,,,,,,,
1,34217E+18;1;And just because the president changes doesn’t mean that the vaccine changes. When Joe Biden is sworn in, it doesn’t make the vaccine magically not rushed. It was still a rushed vaccine. Now I’m not telling anyone not to go take it, I’m just giving it another year or 2 personally,,,,,,,,,,
1,3448E+18;1;At a stroke <U+2066>@10DowningStreet<U+2069> starts to undermine the acceptance of the vaccines by introduction of a completely untested vaccine schedule that is not supported by the manufacturers. Incredibly incompetent The focus must be safely protect vulnerable https://t.co/nY5zRqm8Jw,,,,,,,,,,,,
1,36029E+18;0;My body after taking the second dose of the corona virus vaccine https://t.co/Wj6sr5UwTX,,,,,,,,,,,,
1,"38776E+18;0;""My turn! <U+0001F489>",,,,,,,,,,,,
"Just got my first #AstraZenaca #COVID19 vaccine at my local pharmacy. Happy to be a woman of a certain age. <U+0001F609> #GenXZeneca #vaccinated https://t.co/u2CNeWFUzN""",,,,,,,,,,,,,
1,34358E+18;0;Got my first dose of the vaccine! @Heartless_Lyn I got the Pfizer one just like I thought I would. https://t.co/ASPmGosrvT,,,,,,,,,,,,
1,34602E+18;0;Two vaccine recipients yesterday asked me whether the Pfizer vaccine is a risk to fertility. The answer is no, and the claims it might be are based on a fiction that the vaccine contains a placental protein. Full background and facts here https://t.co/JRhB52bgXo,,,,,,,,,,,
1,"39039E+18;1;""While some people love the depopulation agenda"," blocking the sun (which violates the laws of nature) for """"climate change""""", and wants everybody to get a vaccine (back to depop agenda)," people are angry at Bill. Some people should focus on their family rather than playing God.""",,,,,,,,,
1,34294E+18;1;Before  / After taking a rushed vaccine https://t.co/hBdtukryWb,,,,,,,,,,,,
1,37373E+18;0;Just got my first dose of the vaccine!! Almost wasn’t able get it but atleast now I’m almost to where my patients will be safer!,,,,,,,,,,,,
1,34621E+18;0;Just got my second COVID 19 vaccine <U+0001F44D><U+0001F3FB> #COVID19 #GetVaccinated #CovidVaccine,,,,,,,,,,,,
1,38998E+18;0;I'm fully vaccinated 2 weeks after my 2nd @Pfizer vaccine. Now it's yawls turn!  <U+0001F489>,,,,,,,,,,,,
1,34653E+18;0;if u eat meat from the chinese spot u don't gotta worry about what's in the vaccine,,,,,,,,,,,,
1,3871E+18;0;Registrations should be done using the online portal at the Ministry's Website https://t.co/Q6engKHBf3 or call The National Vaccination Hotline (888 663-5683). #getvaccinatednow #vaxsaveslives #vaxprotects #vaccineprotects #astrazeneca #covid19vacccine<U+0001F489> #vaccination https://t.co/cQs9WKPcwc,,,,,,,,,,,,
1,34623E+18;0;My friend received a just got the vaccine time to eat ass snap today,,,,,,,,,,,,
1,37378E+18;0;Unexpectedly teared up a bit after vaccine 1. I am so grateful. https://t.co/lHsFcFpdo8,,,,,,,,,,,,
1,"37141E+18;1;""I cant beleive that people are still listening to the corrupt media the who and the CDC who have all been lying to you and your so scared that your running out to get an untested vaccine for something science cant back up ",,,,,,,,,,,,
"Fauci is a lying fraud""",,,,,,,,,,,,,
1,3462E+18;0;Gutted the schools are closing but just gotta get on with it now. Vaccine for me tomorrow then counting down to spring. #Lockdown3,,,,,,,,,,,,
1,34442E+18;0;Getting my first covid Pfizer vaccine tomorrow as part of the roll out for NHS staff.  Feel very excited and privileged to be able to get this so quickly and with the year we've all had.  Here's to #2021 and perhaps a rugby match or two @UlsterRugby @IrishRugby #CovidVaccine,,,,,,,,,,,,
1,34667E+18;0;If you took a pink hello kitty back in 2016 or any “euro” do not worry about what’s in the vaccine,,,,,,,,,,,,
1,37127E+18;1;Human AdV-20-42-42, a promising novel adenoviral vector for gene therapy and vaccine product development https://t.co/xMlLVGqSkK,,,,,,,,,,,
1,34665E+18;0;If you let your dog lick you in the mouth... don’t worry about what’s in the Covid vaccine.,,,,,,,,,,,,
1,34669E+18;0;If you’ve ever been inside a Spencer’s don’t worry about what’s in the vaccine,,,,,,,,,,,,
1,3443E+18;0;Received the first dose of the Pfizer #COVID19 vaccine today. No side effects and feeling great. Cheerful staff and an air of celebration around the hospital. Proud and grateful to be a part of this historic step. #vaccines #PfizerVaccine,,,,,,,,,,,,
1,37375E+18;0;I GOT MY VACCINE APPOINTMENT MOVED UP TO WEDNESDAY!!!!!,,,,,,,,,,,,
1,"3589E+18;1;""Facebook to take down posts with false claims about vaccines...but most people do not know these are """"Investigational"""" and are gene therapy...and that re is NO APPROVED  COVID VACCINE YET"," ONLY INVESTIGATIONAL..AND THOSE THAT TAKE IT Now ARE PART OF the STUDY Group.""",,,,,,,,,,,
1,"34693E+18;1;""Even the US CDC can't hide the consequences of pushing experimental", untested poisons on people anymore....,,,,,,,,,,,
,,,,,,,,,,,,,
"https://t.co/zHBZOgsXl8""",,,,,,,,,,,,,
1,34618E+18;0;Cattle vibes <U+0001F485><U+0001F3FD> just got the vaccine and felt like a literal cow https://t.co/VdzEaUbSEI,,,,,,,,,,,,
1,3441E+18;0;Just scheduled my appointment to get the Pfizer vaccine tomorrow afternoon! Excited and grateful to get the chance.,,,,,,,,,,,,
1,"34379E+18;1;""The vaccine is experimental. It utilizes """"Modified Messenger RNA"""" or """"Modified DNA"""". Its technology that has never been used on the public before. Its synthetic to the human body. This is the first time this has ever been used on Human beings. No one knows the long term effects""",,,,,,,,,,,,
1,34427E+18;0;On this good news day it's worth remembering and being grateful to all the volunteers who took part in the Oxford vaccine trial. We owe them a lot!,,,,,,,,,,,,
1,39002E+18;0;I can’t believe I got my second dose of the vaccine one week ago!!! So so so grateful to be fully vaccinated before I go home in June <U+0001F970> From having covid the week before and after the lockdown to being fully vaccinated in 13 months is wild. So relieved <U+263A><U+FE0F>,,,,,,,,,,,,
1,35917E+18;0;My mother just got the Moderna vaccine. She texted the family “Thank you Dolly!” https://t.co/3zHZGWpUkn,,,,,,,,,,,,
1,"34407E+18;0;""Feeling overwhelmed and grateful to be considered an essential person worthy of this vaccine. <U+0001F9A0><U+0001F489>",,,,,,,,,,,,
,,,,,,,,,,,,,
Being able to serve and learn from patients during this time is an honor I take seriously. <U+0001F637>,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Anxiously awaiting the time the rest of society receives their doses. <U+0001FA7A> https://t.co/Fr6gkuwvPF""",,,,,,,,,,,,,
1,"34578E+18;1;""Think about Your Daughters and Sons NEVER been tested for Cancer Autoimmunity issues and impact on fertility... Research 13.1 on every vaccine insert. @realDonaldTrump @VP @KatTimpf @FoxNews @DanaPerino @greggutfeld @JesseBWatters @dagenmcdowell @DanGeltrude Mandates &amp; passport https://t.co/KNMNrIOodT""",,,,,,,,,,,,
1,3592E+18;0;GIVE ME THE VACCINE. INJECT IT INTO MY BLOOOOOOD,,,,,,,,,,,,
1,34675E+18;0;The vaccine needs to worry about what’s in me,,,,,,,,,,,,
1,36026E+18;0;Plan Your Vaccine https://t.co/l3mUUqktyr,,,,,,,,,,,,
1,37218E+18;1;Senior Scientist, Gene Therapy - Cambridge, Massachusetts - Pfizer #ScienceJobs https://t.co/ijaeWlGhB4,,,,,,,,,,
1,34408E+18;1;.@senjonbumstead Force-injecting citizens with a fast-tracked, experimental, liability-free vaccine is unethical and unconstitutional. Medical mandates don't belong in a free society. Let each person choose how they care for their bodies. #nomandates #noforcedcovidvaccines,,,,,,,,,,
1,39007E+18;0;Grateful to the @CityofDeltaBC for an incredibly smooth, well-organized COVID-19 vaccine administration today at North Delta Community Centre, amazing, helpful @Fraserhealth staff, #FirstResponders and @DFF1763 Firefighters administering the Pfizer shots. What a team! Thank you! https://t.co/R8Dsrr71Lj,,,,,,,,
1,37328E+18;0;Egypt receives 2nd shipment of vaccine as gift from China https://t.co/vGLLI01XC0 https://t.co/4MFcdx9b75,,,,,,,,,,,,
1,34689E+18;0;i really hope they let me get the vaccine tomorrow ... i need to go to canada so bad,,,,,,,,,,,,
1,3733E+18;0;Salah after getting the vaccine: https://t.co/ogNV2XnJea,,,,,,,,,,,,
1,3601E+18;0;In the midst of the COVID-19 pandemic, the local government of Carigara is urging parents to have their children vaccinated against common childhood illnesses such as measles, rubella and polio. #vaccinationcampaign #OpinYon #WeTakeAStand #OyWeTakeAStand https://t.co/nwPTg0xhOo,,,,,,,,,,
1,34461E+18;1;I really hate seeing all these people tricked into a vaccine that has not been thoroughly tested for long term side effects! You act like sheep to the slaughter! You are being a guinea pig for a untested vaccine from a man with no medical history,,,,,,,,,,,,
1,3901E+18;0;I received my 2nd Pfizer vaccine today and my son received his yesterday. In 2 weeks I’ll be taking summer clothes etc. to my grandchildren, with mask on, and finally get hugs after almost 15 months. Thankful, grateful, emotional and acknowledging I’m blessed! <U+0001F603><U+0001F973><U+0001F49E>,,,,,,,,
1,34392E+18;0;Grateful and relieved that my hubby and my son, both hospital workers, are getting their first Covid-19 vaccine shots today.,,,,,,,,,,
1,"37394E+18;1;""I don't understand what's so """"far right"""" about not trusting the establishment and their """"vaccines"""" on a planet they claim to believe is overpopulated. <U+0001F914>",,,,,,,,,,,,
,,,,,,,,,,,,,
"#vaccine #COVID<U+30FC>19 #depop #vaccinated #vaccines #COVID19Vaccine #CovidVaccine #UN #Agenda21 #greatreset #depopulation""",,,,,,,,,,,,,
1,34511E+18;0;happy  new year #2021 may this year be full of happiness cause 2020 was full of sadness. hope this year will be better an inshallah the vaccine  will be here,,,,,,,,,,,,
